filing_id,ticker,filed_at,form_type,text_path,source_path
jnj_10q_20180501_000020040618000019,JNJ,2018-05-01,10-Q,jnj_10q_20180501_000020040618000019.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-18-000019/full-submission.txt
jnj_10q_20180802_000020040618000041,JNJ,2018-08-02,10-Q,jnj_10q_20180802_000020040618000041.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-18-000041/full-submission.txt
jnj_10q_20181031_000020040618000055,JNJ,2018-10-31,10-Q,jnj_10q_20181031_000020040618000055.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-18-000055/full-submission.txt
jnj_10k_20190220_000020040619000009,JNJ,2019-02-20,10-K,jnj_10k_20190220_000020040619000009.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-K/0000200406-19-000009/full-submission.txt
jnj_10q_20190501_000020040619000033,JNJ,2019-05-01,10-Q,jnj_10q_20190501_000020040619000033.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-19-000033/full-submission.txt
jnj_10q_20190729_000020040619000053,JNJ,2019-07-29,10-Q,jnj_10q_20190729_000020040619000053.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-19-000053/full-submission.txt
jnj_10q_20191028_000020040619000066,JNJ,2019-10-28,10-Q,jnj_10q_20191028_000020040619000066.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-19-000066/full-submission.txt
jnj_10k_20200218_000020040620000010,JNJ,2020-02-18,10-K,jnj_10k_20200218_000020040620000010.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-K/0000200406-20-000010/full-submission.txt
jnj_10q_20200429_000020040620000035,JNJ,2020-04-29,10-Q,jnj_10q_20200429_000020040620000035.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-20-000035/full-submission.txt
jnj_10q_20200724_000020040620000050,JNJ,2020-07-24,10-Q,jnj_10q_20200724_000020040620000050.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-20-000050/full-submission.txt
jnj_10q_20201023_000020040620000056,JNJ,2020-10-23,10-Q,jnj_10q_20201023_000020040620000056.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-20-000056/full-submission.txt
jnj_10k_20210222_000020040621000008,JNJ,2021-02-22,10-K,jnj_10k_20210222_000020040621000008.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-K/0000200406-21-000008/full-submission.txt
jnj_10q_20210430_000020040621000036,JNJ,2021-04-30,10-Q,jnj_10q_20210430_000020040621000036.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-21-000036/full-submission.txt
jnj_10q_20210729_000020040621000057,JNJ,2021-07-29,10-Q,jnj_10q_20210729_000020040621000057.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-21-000057/full-submission.txt
jnj_10q_20211029_000020040621000070,JNJ,2021-10-29,10-Q,jnj_10q_20211029_000020040621000070.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-21-000070/full-submission.txt
jnj_10k_20220217_000020040622000022,JNJ,2022-02-17,10-K,jnj_10k_20220217_000020040622000022.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-K/0000200406-22-000022/full-submission.txt
jnj_10q_20220429_000020040622000048,JNJ,2022-04-29,10-Q,jnj_10q_20220429_000020040622000048.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-22-000048/full-submission.txt
jnj_10q_20220729_000020040622000071,JNJ,2022-07-29,10-Q,jnj_10q_20220729_000020040622000071.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-22-000071/full-submission.txt
jnj_10q_20221027_000020040622000086,JNJ,2022-10-27,10-Q,jnj_10q_20221027_000020040622000086.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-22-000086/full-submission.txt
jnj_10k_20230216_000020040623000016,JNJ,2023-02-16,10-K,jnj_10k_20230216_000020040623000016.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-K/0000200406-23-000016/full-submission.txt
jnj_10q_20230428_000020040623000056,JNJ,2023-04-28,10-Q,jnj_10q_20230428_000020040623000056.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-23-000056/full-submission.txt
jnj_10q_20230731_000020040623000082,JNJ,2023-07-31,10-Q,jnj_10q_20230731_000020040623000082.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-23-000082/full-submission.txt
jnj_10q_20231027_000020040623000102,JNJ,2023-10-27,10-Q,jnj_10q_20231027_000020040623000102.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/JNJ/10-Q/0000200406-23-000102/full-submission.txt
mrk_10k_20180227_000031015818000005,MRK,2018-02-27,10-K,mrk_10k_20180227_000031015818000005.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-K/0000310158-18-000005/full-submission.txt
mrk_10q_20180508_000031015818000011,MRK,2018-05-08,10-Q,mrk_10q_20180508_000031015818000011.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0000310158-18-000011/full-submission.txt
mrk_10q_20180807_000031015818000034,MRK,2018-08-07,10-Q,mrk_10q_20180807_000031015818000034.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0000310158-18-000034/full-submission.txt
mrk_10q_20181106_000031015818000039,MRK,2018-11-06,10-Q,mrk_10q_20181106_000031015818000039.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0000310158-18-000039/full-submission.txt
mrk_10k_20190227_000031015819000014,MRK,2019-02-27,10-K,mrk_10k_20190227_000031015819000014.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-K/0000310158-19-000014/full-submission.txt
mrk_10q_20190508_000031015819000019,MRK,2019-05-08,10-Q,mrk_10q_20190508_000031015819000019.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0000310158-19-000019/full-submission.txt
mrk_10q_20190806_000031015819000037,MRK,2019-08-06,10-Q,mrk_10q_20190806_000031015819000037.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0000310158-19-000037/full-submission.txt
mrk_10q_20191105_000031015819000042,MRK,2019-11-05,10-Q,mrk_10q_20191105_000031015819000042.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0000310158-19-000042/full-submission.txt
mrk_10k_20200226_000031015820000005,MRK,2020-02-26,10-K,mrk_10k_20200226_000031015820000005.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-K/0000310158-20-000005/full-submission.txt
mrk_10q_20200506_000031015820000009,MRK,2020-05-06,10-Q,mrk_10q_20200506_000031015820000009.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0000310158-20-000009/full-submission.txt
mrk_10q_20200805_000031015820000026,MRK,2020-08-05,10-Q,mrk_10q_20200805_000031015820000026.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0000310158-20-000026/full-submission.txt
mrk_10q_20201105_000031015820000030,MRK,2020-11-05,10-Q,mrk_10q_20201105_000031015820000030.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0000310158-20-000030/full-submission.txt
mrk_10k_20210225_000031015821000004,MRK,2021-02-25,10-K,mrk_10k_20210225_000031015821000004.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-K/0000310158-21-000004/full-submission.txt
mrk_10q_20210505_000031015821000009,MRK,2021-05-05,10-Q,mrk_10q_20210505_000031015821000009.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0000310158-21-000009/full-submission.txt
mrk_10q_20210809_000031015821000028,MRK,2021-08-09,10-Q,mrk_10q_20210809_000031015821000028.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0000310158-21-000028/full-submission.txt
mrk_10q_20211105_000031015821000032,MRK,2021-11-05,10-Q,mrk_10q_20211105_000031015821000032.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0000310158-21-000032/full-submission.txt
mrk_10k_20220225_000031015822000003,MRK,2022-02-25,10-K,mrk_10k_20220225_000031015822000003.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-K/0000310158-22-000003/full-submission.txt
mrk_10q_20220505_000031015822000011,MRK,2022-05-05,10-Q,mrk_10q_20220505_000031015822000011.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0000310158-22-000011/full-submission.txt
mrk_10q_20220805_000031015822000030,MRK,2022-08-05,10-Q,mrk_10q_20220805_000031015822000030.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0000310158-22-000030/full-submission.txt
mrk_10q_20221103_000031015822000034,MRK,2022-11-03,10-Q,mrk_10q_20221103_000031015822000034.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0000310158-22-000034/full-submission.txt
mrk_10k_20230224_000162828023005061,MRK,2023-02-24,10-K,mrk_10k_20230224_000162828023005061.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-K/0001628280-23-005061/full-submission.txt
mrk_10q_20230505_000162828023015990,MRK,2023-05-05,10-Q,mrk_10q_20230505_000162828023015990.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0001628280-23-015990/full-submission.txt
mrk_10q_20230807_000162828023027770,MRK,2023-08-07,10-Q,mrk_10q_20230807_000162828023027770.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0001628280-23-027770/full-submission.txt
mrk_10q_20231103_000162828023036717,MRK,2023-11-03,10-Q,mrk_10q_20231103_000162828023036717.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/MRK/10-Q/0001628280-23-036717/full-submission.txt
pfe_10k_20180222_000007800318000027,PFE,2018-02-22,10-K,pfe_10k_20180222_000007800318000027.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/PFE/10-K/0000078003-18-000027/full-submission.txt
pfe_10q_20180510_000007800318000045,PFE,2018-05-10,10-Q,pfe_10q_20180510_000007800318000045.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/PFE/10-Q/0000078003-18-000045/full-submission.txt
pfe_10q_20180809_000007800318000070,PFE,2018-08-09,10-Q,pfe_10q_20180809_000007800318000070.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/PFE/10-Q/0000078003-18-000070/full-submission.txt
pfe_10q_20181108_000007800318000091,PFE,2018-11-08,10-Q,pfe_10q_20181108_000007800318000091.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/PFE/10-Q/0000078003-18-000091/full-submission.txt
pfe_10k_20190228_000007800319000015,PFE,2019-02-28,10-K,pfe_10k_20190228_000007800319000015.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/PFE/10-K/0000078003-19-000015/full-submission.txt
pfe_10q_20190509_000007800319000026,PFE,2019-05-09,10-Q,pfe_10q_20190509_000007800319000026.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/PFE/10-Q/0000078003-19-000026/full-submission.txt
pfe_10q_20190808_000007800319000064,PFE,2019-08-08,10-Q,pfe_10q_20190808_000007800319000064.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/PFE/10-Q/0000078003-19-000064/full-submission.txt
pfe_10q_20191107_000007800319000082,PFE,2019-11-07,10-Q,pfe_10q_20191107_000007800319000082.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/PFE/10-Q/0000078003-19-000082/full-submission.txt
pfe_10k_20200227_000007800320000014,PFE,2020-02-27,10-K,pfe_10k_20200227_000007800320000014.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/PFE/10-K/0000078003-20-000014/full-submission.txt
pfe_10q_20200507_000007800320000037,PFE,2020-05-07,10-Q,pfe_10q_20200507_000007800320000037.txt,/Users/aj5/Main drive/UT Austin MSIS/Deep Learning/Project /sec_filings/raw_downloads/sec-edgar-filings/PFE/10-Q/0000078003-20-000037/full-submission.txt
