date,ppo_price_sentiment,buy_hold_equal,equal_weight_monthly,momentum_20d,xph
2022-10-28,1031271.1152827453,1148491.2411696184,1157259.6087079742,1072333.9599718822,919384.0294281314
2022-10-31,1046571.9175135803,1142887.6357765081,1150648.6375756504,1065690.012862924,918299.2254788943
2022-11-01,1041192.5420558166,1144895.7898448785,1154049.8541251353,1066866.4741599238,926544.808956424
2022-11-02,1035932.9576289367,1132197.3403394283,1140544.942223943,1055052.2782539597,908751.8080065821
2022-11-03,1020034.4133174133,1135166.8655514482,1143539.3844036604,1055795.5288587804,907016.0004903304
2022-11-04,1021767.6934992981,1143572.983525848,1152279.0062421202,1065479.4573164445,902025.0019997583
2022-11-07,1026310.3513514709,1157342.4837530067,1165633.496965827,1084079.8401707367,907232.9439662531
2022-11-08,1035275.4716670227,1173862.771364679,1181437.9985465785,1110409.2981445612,912440.626223878
2022-11-09,1040415.7705104065,1166896.9846623733,1173963.0653746438,1106420.2031320527,888571.7362646038
2022-11-10,1032107.6307093811,1177146.6816213496,1184952.0902446832,1107557.0761958594,919167.172521832
2022-11-11,1044181.0502803039,1155098.378978247,1164429.8284009735,1080565.9413115496,931101.747355904
2022-11-14,1012981.7037379455,1174124.9546449648,1184394.0134257178,1097131.8820991209,932620.5248266098
2022-11-15,1028880.3491389465,1172398.4984405846,1182493.6556759109,1090638.8124471023,930016.7702674204
2022-11-16,1031749.2685115051,1172270.0148646454,1181923.3770379499,1088944.4254457431,907883.687824398
2022-11-17,1038144.5932185363,1184672.237972178,1193821.0732934864,1098436.0362516432,902459.1486604736
2022-11-18,1046512.1736323547,1192374.1900680307,1201145.985642968,1099441.602499063,912223.7693175785
2022-11-21,1054521.0885798645,1201575.6283342175,1209782.674346027,1102226.296443745,903109.9790882417
2022-11-22,1059935.0366389465,1212320.8040069027,1221163.791261891,1110844.0224480755,911355.6491353946
2022-11-23,1065048.445681305,1208594.0015439906,1217349.8768504285,1103013.6585920113,907883.687824398
2022-11-25,1066191.262224884,1213712.8012578099,1222613.0401621151,1110288.8466977712,916129.3578715508
2022-11-28,1067574.671725006,1205538.3226753783,1214466.5809210455,1091693.0084235708,917648.3950511263
2022-11-29,1068116.2080561828,1205002.408486587,1213729.1861308091,1093362.395679299,915695.384350082
2022-11-30,1060656.916598053,1228735.058151904,1237574.842763965,1113310.5144397141,931318.77740145
2022-12-01,1072146.4433467102,1230764.0040743288,1240313.876372912,1113564.0313405045,936309.4296135289
2022-12-02,1076598.1206690979,1233612.1393923194,1242929.2776990116,1123809.1315207242,945856.8470858413
2022-12-05,1077440.1960169983,1227084.7836763018,1236361.9983835004,1119929.8651858536,927195.8125234387
2022-12-06,1076838.5114466858,1217508.0448244708,1226139.2476984868,1115679.1979128136,912874.5131757235
2022-12-07,1060717.0648371887,1224531.2606026554,1233333.2490137608,1122736.8064395592,919384.0294281314
2022-12-08,1067153.6340510559,1231121.8155401142,1240870.3760521135,1133817.2287080458,923723.9377820655
2022-12-09,1067334.1798579406,1212919.986731632,1223362.1087658803,1118904.1725166384,907232.9439662531
2022-12-12,1058551.526049347,1220728.8758494486,1231742.8079069825,1127897.7924010758,919601.3191825473
2022-12-13,1071183.9704310608,1221482.2794962013,1233225.6174588276,1139945.090624073,927629.6994752842
2022-12-14,1079425.2900874328,1225955.2341908545,1238532.4956269944,1154926.9227974995,925026.0314857183
2022-12-15,1082733.7465083313,1203919.8154217047,1216579.5842838117,1138043.109373198,902459.1486604736
