ticker,nct_id,trial_phase,study_status,lead_sponsor,interventions,source,date,event_type,event_date_source_col,is_inferred_status_date
MRK,NCT03485209,PHASE2,ACTIVE_NOT_RECRUITING,"Seagen, a wholly owned subsidiary of Pfizer",tisotumab vedotin|pembrolizumab|carboplatin|cisplatin,clinicaltrials.gov_api_v2,2018-06-25,TRIAL_START,start_date,0
BMY,NCT03502746,PHASE2,TERMINATED,"Arkadiusz Z. Dudek, MD",Nivolumab|Ramucirumab,clinicaltrials.gov_api_v2,2018-06-26,TRIAL_START,start_date,0
BMY,NCT03547999,PHASE2,TERMINATED,Patrick Boland,mFOLFOX6|MVA-BN-CV301|FPV-CV301|Nivolumab,clinicaltrials.gov_api_v2,2018-06-26,TRIAL_START,start_date,0
GILD,NCT02873936,PHASE3,COMPLETED,Gilead Sciences,Filgotinib|Placebo to match filgotinib|csDMARDs,clinicaltrials.gov_api_v2,2018-06-26,STUDY_COMPLETION,completion_date,0
MRK,NCT03299088,PHASE1,COMPLETED,Jonathan Riess,Pembrolizumab|Trametinib,clinicaltrials.gov_api_v2,2018-06-26,TRIAL_START,start_date,0
BMY,NCT03464097,PHASE3,TERMINATED,Celgene,Ozanimod|Placebo,clinicaltrials.gov_api_v2,2018-06-27,TRIAL_START,start_date,0
MRK,NCT03488667,PHASE2,ACTIVE_NOT_RECRUITING,University of Kansas Medical Center,Neoadjuvant Treatment - mFOLFOX6 & Pembrolizumab|Adjuvant Treatment - mFOLFOX & Pembrolizumab,clinicaltrials.gov_api_v2,2018-06-27,TRIAL_START,start_date,0
MRK,NCT03504163,PHASE2,ACTIVE_NOT_RECRUITING,Memorial Sloan Kettering Cancer Center,Pembrolizumab (MK-3475)|Bacillus Calmette-Guérin (BCG),clinicaltrials.gov_api_v2,2018-06-27,TRIAL_START,start_date,0
BMY,NCT02437279,PHASE1,UNKNOWN,The Netherlands Cancer Institute,Surgery of the tumor|Infusion with ipilimumab 3 mg/kg q3wks|Infusion with nivolumab 1 mg/kg q3wks,clinicaltrials.gov_api_v2,2018-06-28,PRIMARY_COMPLETION,primary_completion_date,0
BMY,NCT02903381,PHASE2,COMPLETED,Dana-Farber Cancer Institute,Nivolumab|Lenalidomide|Dexamethasone,clinicaltrials.gov_api_v2,2018-06-28,PRIMARY_COMPLETION,primary_completion_date,0
BMY,NCT03521570,PHASE2,COMPLETED,Emory University,IMRT|Nivolumab,clinicaltrials.gov_api_v2,2018-06-28,TRIAL_START,start_date,0
MRK,NCT03407170,PHASE2,TERMINATED,Merck Sharp & Dohme LLC,pembrolizumab,clinicaltrials.gov_api_v2,2018-06-28,TRIAL_START,start_date,0
JNJ,NCT02919579,PHASE1,COMPLETED,"Janssen Research & Development, LLC",Placebo (Intranasal)|Esketamine|Alcohol|Placebo (Oral),clinicaltrials.gov_api_v2,2018-06-29,PRIMARY_COMPLETION,primary_completion_date,0
JNJ,NCT02919579,PHASE1,COMPLETED,"Janssen Research & Development, LLC",Placebo (Intranasal)|Esketamine|Alcohol|Placebo (Oral),clinicaltrials.gov_api_v2,2018-06-29,STUDY_COMPLETION,completion_date,0
MRK,NCT03515837,PHASE3,COMPLETED,Merck Sharp & Dohme LLC,pembrolizumab|pemetrexed|carboplatin|cisplatin|saline solution,clinicaltrials.gov_api_v2,2018-06-29,TRIAL_START,start_date,0
MRK,NCT02537444,PHASE2,COMPLETED,Acerta Pharma BV,Acalabrutinib|acalabrutinib and pembrolizumab combination,clinicaltrials.gov_api_v2,2018-07-01,PRIMARY_COMPLETION,primary_completion_date,0
MRK,NCT02454179,PHASE2,COMPLETED,Acerta Pharma BV,pembrolizumab|Acalabrutinib,clinicaltrials.gov_api_v2,2018-07-01,STUDY_COMPLETION,completion_date,0
MRK,NCT03565445,PHASE1,COMPLETED,"Astellas Pharma Global Development, Inc.",ASP1948|nivolumab|pembrolizumab,clinicaltrials.gov_api_v2,2018-07-02,TRIAL_START,start_date,0
GILD,NCT02889796,PHASE3,COMPLETED,Gilead Sciences,Filgotinib|Placebo to match filgotinib|Adalimumab|Placebo to match adalimumab|MTX,clinicaltrials.gov_api_v2,2018-07-04,PRIMARY_COMPLETION,primary_completion_date,0
ABBV,NCT03255382,PHASE3,COMPLETED,AbbVie,Fumaderm|risankizumab,clinicaltrials.gov_api_v2,2018-07-06,PRIMARY_COMPLETION,primary_completion_date,0
ABBV,NCT03255382,PHASE3,COMPLETED,AbbVie,Fumaderm|risankizumab,clinicaltrials.gov_api_v2,2018-07-06,STUDY_COMPLETION,completion_date,0
ABBV,NCT02986373,PHASE2,COMPLETED,AbbVie,risankizumab,clinicaltrials.gov_api_v2,2018-07-08,PRIMARY_COMPLETION,primary_completion_date,0
MRK,NCT02576977,PHASE3,TERMINATED,Merck Sharp & Dohme LLC,Pembrolizumab|Pomalidomide|Dexamethasone,clinicaltrials.gov_api_v2,2018-07-09,PRIMARY_COMPLETION,primary_completion_date,0
MRK,NCT02579863,PHASE3,TERMINATED,Merck Sharp & Dohme LLC,Pembrolizumab|Lenalidomide|Dexamethasone,clinicaltrials.gov_api_v2,2018-07-09,PRIMARY_COMPLETION,primary_completion_date,0
MRK,NCT03498612,PHASE2,TERMINATED,University of Washington,Laboratory Biomarker Analysis|Pembrolizumab,clinicaltrials.gov_api_v2,2018-07-09,TRIAL_START,start_date,0
BMY,NCT03583086,PHASE1|PHASE2,COMPLETED,Vanderbilt-Ingram Cancer Center,Vorolanib|Nivolumab,clinicaltrials.gov_api_v2,2018-07-10,TRIAL_START,start_date,0
MRK,NCT03435952,PHASE1,ACTIVE_NOT_RECRUITING,M.D. Anderson Cancer Center,Pembrolizumab|Clostridium Novyi-NT|Doxycycline,clinicaltrials.gov_api_v2,2018-07-10,TRIAL_START,start_date,0
BMY,NCT03644576,PHASE1,COMPLETED,Celgene,ozanimod|Pseudoephedrine|ozanimod placebo,clinicaltrials.gov_api_v2,2018-07-11,TRIAL_START,start_date,0
MRK,NCT03564691,PHASE1,COMPLETED,Merck Sharp & Dohme LLC,MK-4830|Pembrolizumab|Carboplatin|Pemetrexed|Lenvatinib|Paclitaxel|Cisplatin|MK-4830A,clinicaltrials.gov_api_v2,2018-07-11,TRIAL_START,start_date,0
BMY,NCT03558087,PHASE2,COMPLETED,Matthew Galsky,Nivolumab|Gemcitabine|Cisplatin,clinicaltrials.gov_api_v2,2018-07-13,TRIAL_START,start_date,0
BMY,NCT03620123,PHASE2,COMPLETED,AIO-Studien-gGmbH,Nivolumab and Ipilimumab|Docetaxel,clinicaltrials.gov_api_v2,2018-07-16,TRIAL_START,start_date,0
MRK,NCT03419130,PHASE2,WITHDRAWN,"University of California, San Francisco",Hypofractionated Radiation Therapy|Laboratory Biomarker Analysis|Pembrolizumab|Radiation Therapy,clinicaltrials.gov_api_v2,2018-07-18,TRIAL_START,start_date,0
ABBV,NCT03518047,PHASE3,COMPLETED,AbbVie,risankizumab|placebo for rizankizumab,clinicaltrials.gov_api_v2,2018-07-19,TRIAL_START,start_date,0
MRK,NCT03358472,PHASE3,COMPLETED,Incyte Corporation,Pembrolizumab|Epacadostat|Cetuximab|Cisplatin|Carboplatin|5-Fluorouracil,clinicaltrials.gov_api_v2,2018-07-19,PRIMARY_COMPLETION,primary_completion_date,0
BMY,NCT03694119,PHASE1,COMPLETED,Celgene,Phenelzine|Tyramine|Phenelzine placebo|ozanimod placebo|ozanimod,clinicaltrials.gov_api_v2,2018-07-24,TRIAL_START,start_date,0
ABBV,NCT02672852,PHASE3,COMPLETED,AbbVie,Risankizumab|Placebo,clinicaltrials.gov_api_v2,2018-07-26,STUDY_COMPLETION,completion_date,0
BMY,NCT03382886,PHASE1,TERMINATED,University of Utah,Nivolumab|Bevacizumab,clinicaltrials.gov_api_v2,2018-07-26,PRIMARY_COMPLETION,primary_completion_date,0
BMY,NCT03528408,PHASE2,UNKNOWN,Suthee Rapisuwon,Nivolumab|Ipilimumab,clinicaltrials.gov_api_v2,2018-07-26,TRIAL_START,start_date,0
ABBV,NCT03607422,PHASE3,COMPLETED,AbbVie,Placebo for Upadacitinib|Upadacitinib,clinicaltrials.gov_api_v2,2018-07-27,TRIAL_START,start_date,0
BMY,NCT03483103,PHASE2,COMPLETED,"Juno Therapeutics, a Subsidiary of Celgene",lisocabtagene maraleucel,clinicaltrials.gov_api_v2,2018-07-27,TRIAL_START,start_date,0
MRK,NCT03374488,PHASE3,COMPLETED,Incyte Corporation,Pembrolizumab|Epacadostat|Placebo,clinicaltrials.gov_api_v2,2018-07-27,PRIMARY_COMPLETION,primary_completion_date,0
ABBV,NCT02986373,PHASE2,COMPLETED,AbbVie,risankizumab,clinicaltrials.gov_api_v2,2018-07-30,STUDY_COMPLETION,completion_date,0
