date,ticker,event_type,drug_name,therapeutic_area,outcome,source,application_type,active_ingredient,sponsor_raw,px_1d_ret_pct,px_5d_ret_pct,days_to_event,as_of_date
2019-07-30,ABBV,APPROVAL,Rinvoq (upadacitinib),Immunology,APPROVED,manual,,,,0.0,-3.59,6,2019-07-24
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,84,2019-07-24
2019-07-30,ABBV,APPROVAL,Rinvoq (upadacitinib),Immunology,APPROVED,manual,,,,0.0,-3.59,5,2019-07-25
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,83,2019-07-25
2019-07-30,ABBV,APPROVAL,Rinvoq (upadacitinib),Immunology,APPROVED,manual,,,,0.0,-3.59,4,2019-07-26
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,82,2019-07-26
2019-07-30,ABBV,APPROVAL,Rinvoq (upadacitinib),Immunology,APPROVED,manual,,,,0.0,-3.59,1,2019-07-29
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,79,2019-07-29
2019-07-30,ABBV,APPROVAL,Rinvoq (upadacitinib),Immunology,APPROVED,manual,,,,0.0,-3.59,0,2019-07-30
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,78,2019-07-30
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,77,2019-07-31
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,76,2019-08-01
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,75,2019-08-02
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,72,2019-08-05
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,71,2019-08-06
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,70,2019-08-07
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,69,2019-08-08
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,68,2019-08-09
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,65,2019-08-12
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,64,2019-08-13
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,63,2019-08-14
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,62,2019-08-15
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,61,2019-08-16
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,58,2019-08-19
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,57,2019-08-20
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,56,2019-08-21
2019-10-16,GILD,APPROVAL,Filgotinib - ADCOM (denied vote),Immunology,NEGATIVE,manual,,,,0.08,1.96,55,2019-08-22
