date,PPO_PriceOnly,BuyHold_Equal,EqualWeight_Monthly,Momentum_20D,XPH,PPO_PriceSentiment,PPO_Phase5_BasicFDA,PPO_Phase5_RichFDA,PPO_Phase5_RichFDA_CT,PPO_Phase6_SEC
2022-06-15,960388.2098233452,990135.5087975822,987922.0543850622,1042592.7911190768,848250.6356807436,999937.1175563048,844908.7109719735,950483.4027146148,968954.242750244,989196.3505373916
2022-06-16,967987.2420117608,981652.0710797076,978430.8991161864,1042592.7911190768,829510.8227611624,1010623.4884059144,853676.0189515572,958040.0972794342,975479.2200527953,994812.4377337416
2022-06-17,963783.1654431572,989066.8646403416,986825.4903964323,1042592.7911190768,844588.7406162856,1011158.0495631408,843885.8763734322,945371.4288452911,966383.4267788696,991588.2478686294
2022-06-21,961879.0116116751,1019494.8736616,1016941.9466278898,1068138.7629071968,859838.7588824761,1007477.078417511,855721.7516747933,968741.6104668428,965828.941061096,1000797.6264544448
2022-06-22,992418.518645977,1032333.9623839498,1029772.1140777032,1067912.5693535577,871952.4462671005,1028553.5268580628,884654.1665803414,1000642.9023751068,993698.3323689268,1036452.8204623184
2022-06-23,1007857.40091679,1052114.7108129296,1049533.1462578245,1089418.4964263164,902019.7212527386,1044761.2027919006,899266.6430016976,1005992.4497917938,1008045.744463043,1052193.5921755752
2022-06-24,1032144.214400982,1067054.9930214577,1064185.6140148162,1101850.6647523714,912835.1239971342,1068034.6288478088,914901.8904954414,1023304.7657097626,1029802.7122593689,1075939.2795229873
2022-06-27,1047132.9725720634,1072649.7155433258,1069416.2600301453,1108355.634910645,940739.3703756672,1083648.707369537,922207.9063645822,1033946.0122078704,1045645.4387341308,1089235.418149086
2022-06-28,1051418.230720257,1051175.9625424764,1046945.3611722948,1072733.1554086618,915431.0007206054,1082639.5311152649,918554.8984300118,1040893.59726799,1049026.6286831663,1099394.0280428848
2022-06-29,1027037.7441022148,1056501.6160017245,1052634.7347262965,1074240.394768427,918242.7820845204,1051885.9891688535,909495.1795655708,1016591.6231163788,1027917.547651367,1071981.1082125625
2022-06-30,1031154.4859921684,1052519.613012785,1049315.403439652,1065593.5607923588,908508.9802133008,1052182.7878749084,913440.5348588448,1018732.250306015,1032967.846605377,1082437.7112399065
